Computer		O2	"O2 AVX"	"O2 AVX no alias"	"O2 AVX no alias align64"	"O2 AVX no alias align32"
"Neptune"  		3.66	3.69		3.53	   	   	3.49 	   	 3.54	
"Nemo"			3.35	3.13		3.09			3.03		3.07	  
