Computer		O2	"O2 AVX"	"O2 AVX no alias"	"O2 AVX no alias align64"	"O2 AVX no alias align32"
"Neptune" 	5.68	5.70		5.28	    	   		5.26 	   5.27		   	
"Nemo"		5.11	4.70		4.54				4.50       4.48
